Card   1:  5 27 94 20 50  7 98 41 67 34 | 34  9 20 90  7 77 44 71 27 12 98  1 79 96 24 51 25 84 67 41  5 13 78 31 26
Card   2: 52 14 37 45 82 39 73 67 72 90 | 72 78 37 25 39 68 23 45 73 90 86  2 85 57 80 62 22 26 92 67 82 95 66 14 52
Card   3: 33 86 80 53 45 32 25 29 84 89 | 89 53 74 49 73 30 25 82 84 44 59 86 32 54 96 41 26 80 68 29 45 33 23 99 17
Card   4: 64 25  5  1 46 75 45 55 21  7 | 93 62 21 60 46 44 96 88 12 63 85 91 14 55 68 67 16 74 45 41 75 70 25 36 78
Card   5: 10 72 81 60 97 56 90 25 76 82 | 19  8 57  3 86 72 84 76 98 34 56 10 25 70 90 40 65 44 60 81 54 93 97 17 82
Card   6: 94 58 92 25  7 19 52 82 85 64 | 52 22 82 25  3 92 83 86 35  7 95 58 93 19 48 64 57 43 28 45 94  8 63 79 85
Card   7:  3 82 59 79 99 28 96 75 68 74 | 27 49 68 75 89 88 61 74 47 62 82 59 46 26 65 79 96 28 80 29  3 33 35 31 99
Card   8: 87 46 34 69 59 44 35 93 11 25 | 72 34 43 86 19 30  9 55 64 81 37 29  7  1 63 68 90 40 45 89 36 98 99 96 11
Card   9: 42 99 98 17 88 78 27 10 71  1 | 81 63  4 15 36 48 71 54 78 95 99  1 27 37 10 39  2 62 35 66 33 77 16 29 26
Card  10: 60 55 21  8 12 78 11 25 76 56 | 67  4 21 26 55  7 16  6 17 41 44 76 61 15  8 80 88 42 89 57 53 59 13 10 63
